inSmi	refIdx2	Sim
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	59	0.0480
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	72	0.0478
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	96	0.0473
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	67	0.0469
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	16	0.0468
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	24	0.0467
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	51	0.0465
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	62	0.0463
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	12	0.0447
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	73	0.0445
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	56	0.0429
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	86	0.0428
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	71	0.0423
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	38	0.0420
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	22	0.0420
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	43	0.0418
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	6	0.0408
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	10	0.0406
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	50	0.0397
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	46	0.0396
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	15	0.0390
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	79	0.0388
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	53	0.0388
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	45	0.0380
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	40	0.0377
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	57	0.0374
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	70	0.0368
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	29	0.0364
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	69	0.0351
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	97	0.0351
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	84	0.0344
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	81	0.0343
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	52	0.0339
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	77	0.0338
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	64	0.0334
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	36	0.0330
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	20	0.0329
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	87	0.0326
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	88	0.0326
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	42	0.0322
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	26	0.0321
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	32	0.0320
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	98	0.0313
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	58	0.0309
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	85	0.0290
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	8	0.0288
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	13	0.0288
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	18	0.0288
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	44	0.0287
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	63	0.0284
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	91	0.0276
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	48	0.0275
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	55	0.0273
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	83	0.0266
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	93	0.0249
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	19	0.0237
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	11	0.0112
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	99	0.0084
CCCN(CCC)C(=O)Cn1ccc(=N)c2c1cccc2	90	0.0032
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	89	0.2078
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	66	0.1658
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	80	0.1476
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	82	0.1033
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	41	0.0962
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	49	0.0928
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	65	0.0900
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	0	0.0886
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	30	0.0841
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	33	0.0830
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	61	0.0829
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	75	0.0712
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	54	0.0710
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	78	0.0690
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	76	0.0671
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	31	0.0663
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	74	0.0645
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	72	0.0598
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	27	0.0591
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	10	0.0571
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	9	0.0548
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	71	0.0541
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	73	0.0533
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	67	0.0523
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	100	0.0511
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	39	0.0511
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	95	0.0509
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	57	0.0509
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	17	0.0509
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	56	0.0498
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	38	0.0498
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	53	0.0497
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	68	0.0493
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	52	0.0490
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	25	0.0488
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	51	0.0470
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	43	0.0453
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	87	0.0452
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	96	0.0446
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	50	0.0440
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	24	0.0437
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	12	0.0435
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	15	0.0427
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	16	0.0425
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	97	0.0424
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	14	0.0418
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	6	0.0418
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	28	0.0415
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	23	0.0414
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	62	0.0407
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	45	0.0402
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	22	0.0397
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	70	0.0386
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	29	0.0385
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	37	0.0385
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	60	0.0384
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	4	0.0383
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	94	0.0378
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	21	0.0374
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	36	0.0373
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	18	0.0373
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	91	0.0372
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	63	0.0370
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	3	0.0370
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	93	0.0369
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	7	0.0369
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	77	0.0368
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	40	0.0365
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	88	0.0364
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	92	0.0363
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	86	0.0363
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	42	0.0360
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	26	0.0360
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	2	0.0359
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	84	0.0357
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	59	0.0353
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	5	0.0338
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	32	0.0335
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	64	0.0327
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	35	0.0327
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	34	0.0324
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	13	0.0314
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	46	0.0306
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	83	0.0305
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	44	0.0302
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	55	0.0283
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	85	0.0280
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	48	0.0278
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	8	0.0274
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	47	0.0262
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	81	0.0259
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	98	0.0250
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	69	0.0246
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	79	0.0245
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	20	0.0230
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	58	0.0216
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	19	0.0142
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	99	0.0137
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	11	0.0063
c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@@H]3CCCCN3)O	90	0.0055
CC[n+]1c2ccccc2sc1/C=C/N(C)C	4	0.3760
CC[n+]1c2ccccc2sc1/C=C/N(C)C	0	0.0801
CC[n+]1c2ccccc2sc1/C=C/N(C)C	5	0.0689
CC[n+]1c2ccccc2sc1/C=C/N(C)C	39	0.0667
CC[n+]1c2ccccc2sc1/C=C/N(C)C	68	0.0653
CC[n+]1c2ccccc2sc1/C=C/N(C)C	60	0.0624
CC[n+]1c2ccccc2sc1/C=C/N(C)C	25	0.0583
CC[n+]1c2ccccc2sc1/C=C/N(C)C	49	0.0563
CC[n+]1c2ccccc2sc1/C=C/N(C)C	94	0.0470
CC[n+]1c2ccccc2sc1/C=C/N(C)C	76	0.0457
CC[n+]1c2ccccc2sc1/C=C/N(C)C	41	0.0454
CC[n+]1c2ccccc2sc1/C=C/N(C)C	15	0.0437
CC[n+]1c2ccccc2sc1/C=C/N(C)C	23	0.0431
CC[n+]1c2ccccc2sc1/C=C/N(C)C	100	0.0428
CC[n+]1c2ccccc2sc1/C=C/N(C)C	65	0.0424
CC[n+]1c2ccccc2sc1/C=C/N(C)C	82	0.0411
CC[n+]1c2ccccc2sc1/C=C/N(C)C	37	0.0407
CC[n+]1c2ccccc2sc1/C=C/N(C)C	89	0.0392
CC[n+]1c2ccccc2sc1/C=C/N(C)C	20	0.0390
CC[n+]1c2ccccc2sc1/C=C/N(C)C	46	0.0388
CC[n+]1c2ccccc2sc1/C=C/N(C)C	30	0.0387
CC[n+]1c2ccccc2sc1/C=C/N(C)C	35	0.0383
CC[n+]1c2ccccc2sc1/C=C/N(C)C	14	0.0379
CC[n+]1c2ccccc2sc1/C=C/N(C)C	78	0.0374
CC[n+]1c2ccccc2sc1/C=C/N(C)C	54	0.0363
CC[n+]1c2ccccc2sc1/C=C/N(C)C	92	0.0362
CC[n+]1c2ccccc2sc1/C=C/N(C)C	61	0.0361
CC[n+]1c2ccccc2sc1/C=C/N(C)C	1	0.0359
CC[n+]1c2ccccc2sc1/C=C/N(C)C	42	0.0358
CC[n+]1c2ccccc2sc1/C=C/N(C)C	59	0.0345
CC[n+]1c2ccccc2sc1/C=C/N(C)C	66	0.0343
CC[n+]1c2ccccc2sc1/C=C/N(C)C	79	0.0339
CC[n+]1c2ccccc2sc1/C=C/N(C)C	75	0.0334
CC[n+]1c2ccccc2sc1/C=C/N(C)C	62	0.0328
CC[n+]1c2ccccc2sc1/C=C/N(C)C	47	0.0327
CC[n+]1c2ccccc2sc1/C=C/N(C)C	7	0.0315
CC[n+]1c2ccccc2sc1/C=C/N(C)C	43	0.0310
CC[n+]1c2ccccc2sc1/C=C/N(C)C	17	0.0304
CC[n+]1c2ccccc2sc1/C=C/N(C)C	33	0.0304
CC[n+]1c2ccccc2sc1/C=C/N(C)C	38	0.0300
CC[n+]1c2ccccc2sc1/C=C/N(C)C	3	0.0298
CC[n+]1c2ccccc2sc1/C=C/N(C)C	96	0.0294
CC[n+]1c2ccccc2sc1/C=C/N(C)C	50	0.0294
CC[n+]1c2ccccc2sc1/C=C/N(C)C	36	0.0290
CC[n+]1c2ccccc2sc1/C=C/N(C)C	18	0.0289
CC[n+]1c2ccccc2sc1/C=C/N(C)C	31	0.0287
CC[n+]1c2ccccc2sc1/C=C/N(C)C	40	0.0287
CC[n+]1c2ccccc2sc1/C=C/N(C)C	72	0.0282
CC[n+]1c2ccccc2sc1/C=C/N(C)C	71	0.0281
CC[n+]1c2ccccc2sc1/C=C/N(C)C	28	0.0280
CC[n+]1c2ccccc2sc1/C=C/N(C)C	80	0.0279
CC[n+]1c2ccccc2sc1/C=C/N(C)C	74	0.0278
CC[n+]1c2ccccc2sc1/C=C/N(C)C	69	0.0276
CC[n+]1c2ccccc2sc1/C=C/N(C)C	44	0.0275
CC[n+]1c2ccccc2sc1/C=C/N(C)C	53	0.0274
CC[n+]1c2ccccc2sc1/C=C/N(C)C	21	0.0274
CC[n+]1c2ccccc2sc1/C=C/N(C)C	45	0.0273
CC[n+]1c2ccccc2sc1/C=C/N(C)C	56	0.0269
CC[n+]1c2ccccc2sc1/C=C/N(C)C	73	0.0268
CC[n+]1c2ccccc2sc1/C=C/N(C)C	57	0.0265
CC[n+]1c2ccccc2sc1/C=C/N(C)C	24	0.0265
CC[n+]1c2ccccc2sc1/C=C/N(C)C	51	0.0263
CC[n+]1c2ccccc2sc1/C=C/N(C)C	95	0.0258
CC[n+]1c2ccccc2sc1/C=C/N(C)C	86	0.0257
CC[n+]1c2ccccc2sc1/C=C/N(C)C	12	0.0254
CC[n+]1c2ccccc2sc1/C=C/N(C)C	77	0.0253
CC[n+]1c2ccccc2sc1/C=C/N(C)C	81	0.0251
CC[n+]1c2ccccc2sc1/C=C/N(C)C	98	0.0251
CC[n+]1c2ccccc2sc1/C=C/N(C)C	64	0.0248
CC[n+]1c2ccccc2sc1/C=C/N(C)C	22	0.0237
CC[n+]1c2ccccc2sc1/C=C/N(C)C	93	0.0236
CC[n+]1c2ccccc2sc1/C=C/N(C)C	16	0.0234
CC[n+]1c2ccccc2sc1/C=C/N(C)C	10	0.0231
CC[n+]1c2ccccc2sc1/C=C/N(C)C	27	0.0226
CC[n+]1c2ccccc2sc1/C=C/N(C)C	97	0.0221
CC[n+]1c2ccccc2sc1/C=C/N(C)C	9	0.0220
CC[n+]1c2ccccc2sc1/C=C/N(C)C	34	0.0219
CC[n+]1c2ccccc2sc1/C=C/N(C)C	58	0.0218
CC[n+]1c2ccccc2sc1/C=C/N(C)C	87	0.0218
CC[n+]1c2ccccc2sc1/C=C/N(C)C	84	0.0214
CC[n+]1c2ccccc2sc1/C=C/N(C)C	48	0.0213
CC[n+]1c2ccccc2sc1/C=C/N(C)C	8	0.0213
CC[n+]1c2ccccc2sc1/C=C/N(C)C	32	0.0210
CC[n+]1c2ccccc2sc1/C=C/N(C)C	52	0.0209
CC[n+]1c2ccccc2sc1/C=C/N(C)C	55	0.0208
CC[n+]1c2ccccc2sc1/C=C/N(C)C	67	0.0204
CC[n+]1c2ccccc2sc1/C=C/N(C)C	26	0.0202
CC[n+]1c2ccccc2sc1/C=C/N(C)C	83	0.0201
CC[n+]1c2ccccc2sc1/C=C/N(C)C	19	0.0196
CC[n+]1c2ccccc2sc1/C=C/N(C)C	29	0.0192
CC[n+]1c2ccccc2sc1/C=C/N(C)C	13	0.0190
CC[n+]1c2ccccc2sc1/C=C/N(C)C	85	0.0188
CC[n+]1c2ccccc2sc1/C=C/N(C)C	88	0.0187
CC[n+]1c2ccccc2sc1/C=C/N(C)C	91	0.0183
CC[n+]1c2ccccc2sc1/C=C/N(C)C	63	0.0172
CC[n+]1c2ccccc2sc1/C=C/N(C)C	99	0.0161
CC[n+]1c2ccccc2sc1/C=C/N(C)C	70	0.0159
CC[n+]1c2ccccc2sc1/C=C/N(C)C	6	0.0148
CC[n+]1c2ccccc2sc1/C=C/N(C)C	11	0.0131
